1 161,50.853701 ,894,51.315969 ,176,41.837618 ,212,43.382209 
470,46.851233 ,372,47.541297 ,171,41.800403 ,202,43.356808 
209,42.696967 ,160,43.648884 ,154,41.693222 ,181,43.229282 
80.7,36.620759 ,54.5,38.096792 ,109,40.794275 ,122,42.352570 
